Year,Age,mx
1937,51,0.01534
1937,52,0.01646
1937,53,0.01762
1937,54,0.01877
1937,55,0.0199
1937,56,0.02108
1937,57,0.02237
1937,58,0.02383
1937,59,0.02548
1937,60,0.02735
1937,61,0.02947
1937,62,0.03185
1937,63,0.03453
1937,64,0.03756
1937,65,0.04095
1937,66,0.04441
1937,67,0.0478
1937,68,0.05109
1937,69,0.05428
1937,70,0.05755
1937,71,0.06165
1937,72,0.06697
1937,73,0.07377
1937,74,0.08219
1937,75,0.08974
1937,76,0.09829
1937,77,0.10725
1937,78,0.11666
1937,79,0.126
1937,80,0.13305
1937,81,0.14322
1937,82,0.15531
1937,83,0.16916
1937,84,0.18402
1937,85,0.19925
1937,86,0.21438
1937,87,0.22993
1937,88,0.24633
1937,89,0.26287
1937,90,0.27854
1937,91,0.29141
1937,92,0.30035
1937,93,0.30483
1937,94,0.30841
1937,95,0.35913
1937,96,0.37883
1937,97,0.39895
1937,98,0.41941
1937,99,0.44015
1937,100,0.4611
1937,101,0.48219
1937,102,0.50334
1937,103,0.52448
1937,104,0.54553
1937,105,0.56643
1937,106,0.58708
1937,107,0.60744
1937,108,0.62743
1937,109,0.64699
1937,110+,0.66608
1938,0,0.06469
1938,1,0.00824
1938,2,0.0038
1938,3,0.00265
1938,4,0.00207
1938,5,0.0017
1938,6,0.00155
1938,7,0.00142
1938,8,0.00132
1938,9,0.00123
1938,10,0.00116
1938,11,0.00115
1938,12,0.00121
1938,13,0.00132
1938,14,0.0015
1938,15,0.00172
1938,16,0.00194
1938,17,0.00216
1938,18,0.00236
1938,19,0.00254
1938,20,0.0027
1938,21,0.00282
1938,22,0.00291
1938,23,0.003
1938,24,0.00307
1938,25,0.00314
1938,26,0.00322
1938,27,0.00331
1938,28,0.00341
1938,29,0.00351
1938,30,0.00362
1938,31,0.00375
1938,32,0.00392
1938,33,0.00413
1938,34,0.00438
1938,35,0.00467
1938,36,0.00499
1938,37,0.00534
1938,38,0.00572
1938,39,0.00613
1938,40,0.00654
1938,41,0.00695
1938,42,0.00737
1938,43,0.00781
1938,44,0.0083
1938,45,0.00886
1938,46,0.00952
1938,47,0.01028
1938,48,0.01113
1938,49,0.01207
1938,50,0.0131
1938,51,0.01416
1938,52,0.01525
1938,53,0.01635
1938,54,0.01746
1938,55,0.01855
1938,56,0.0197
1938,57,0.02092
1938,58,0.02227
1938,59,0.0238
1938,60,0.02555
1938,61,0.02754
1938,62,0.02981
1938,63,0.0324
1938,64,0.03535
1938,65,0.03867
1938,66,0.04209
1938,67,0.04555
1938,68,0.049
1938,69,0.05236
1938,70,0.05577
1938,71,0.05982
1938,72,0.06482
1938,73,0.07101
1938,74,0.07866
1938,75,0.08718
1938,76,0.09469
1938,77,0.10211
1938,78,0.10991
1938,79,0.11804
1938,80,0.12419
1938,81,0.13332
1938,82,0.14429
1938,83,0.15725
1938,84,0.17182
1938,85,0.18719
1938,86,0.20291
1938,87,0.21818
1938,88,0.23276
1938,89,0.2464
1938,90,0.25781
1938,91,0.26633
1938,92,0.27076
1938,93,0.27099
1938,94,0.27217
1938,95,0.33371
1938,96,0.35223
1938,97,0.3712
1938,98,0.39058
1938,99,0.41031
1938,100,0.43034
1938,101,0.45059
1938,102,0.47101
1938,103,0.49153
1938,104,0.51207
1938,105,0.53258
1938,106,0.55297
1938,107,0.57319
1938,108,0.59316
1938,109,0.61284
1938,110+,0.63215
1939,0,0.05969
1939,1,0.00669
1939,2,0.00317
1939,3,0.00229
1939,4,0.00181
1939,5,0.00157
1939,6,0.00138
1939,7,0.00124
1939,8,0.00115
1939,9,0.00111
1939,10,0.00109
1939,11,0.00112
1939,12,0.00119
1939,13,0.00131
1939,14,0.00147
1939,15,0.00165
1939,16,0.00183
1939,17,0.00201
1939,18,0.00219
1939,19,0.00237
1939,20,0.00253
1939,21,0.00267
1939,22,0.00277
1939,23,0.00285
1939,24,0.0029
1939,25,0.00295
1939,26,0.00301
1939,27,0.00309
1939,28,0.0032
1939,29,0.00332
1939,30,0.00345
1939,31,0.00361
1939,32,0.00379
1939,33,0.00398
1939,34,0.00421
1939,35,0.00445
1939,36,0.00473
1939,37,0.00504
1939,38,0.00538
1939,39,0.00575
1939,40,0.00616
1939,41,0.00659
1939,42,0.00706
1939,43,0.00754
1939,44,0.00808
1939,45,0.00867
1939,46,0.00933
1939,47,0.01008
1939,48,0.01093
1939,49,0.01186
1939,50,0.01287
1939,51,0.0139
1939,52,0.015
1939,53,0.01618
1939,54,0.01742
1939,55,0.01871
1939,56,0.02007
1939,57,0.02145
1939,58,0.02285
1939,59,0.02433
1939,60,0.02593
1939,61,0.0278
1939,62,0.02997
1939,63,0.03245
1939,64,0.0353
1939,65,0.03851
1939,66,0.0418
1939,67,0.04523
1939,68,0.04882
1939,69,0.05251
1939,70,0.05639
1939,71,0.06069
1939,72,0.0657
1939,73,0.07159
1939,74,0.0786
1939,75,0.0875
1939,76,0.09524
1939,77,0.10306
1939,78,0.11149
1939,79,0.12101
1939,80,0.12703
1939,81,0.13815
1939,82,0.15074
1939,83,0.16499
1939,84,0.18047
1939,85,0.19628
1939,86,0.21271
1939,87,0.22935
1939,88,0.2445
1939,89,0.25756
1939,90,0.26874
1939,91,0.27679
1939,92,0.2814
1939,93,0.28168
